index	title	release date	hero	heroine	director	genre	ratings
415	Black	2005	amitabh bachhan 	Rani Mukerji	Sanjay Leela Bhansali	Drama, Family	8.2
416	Parineeta	2005	Saif Ali Khan	Vidya Balan	Pradip Sarkar	Drama	7.2
417	Bunty aur Babli	2005	Abhishek Bachhan	Rani Mukerji	shaad ali	Comedy, Music, Romance	6.2
418	Iqbal	2005	Shreyas talpade	Shweta Basu Prasad	nagesh kukunoor	Drama	8.1
419	Sarkar	2005	Vijay	Keerthy Suresh	A.R Murugadoos	Drama, Thriller	6.9
420	Page 3	2005	Atul Kulkarni	konkona sen sharma	madhur bhandarkar	Drama	7.3
421	No Entry	2005	Salman Khan	Esha Deol	Anees Bazmee	Comedy,Music	6.6
422	Salaam Namaste	2005	Saif Ali Khan	Prity Zinta	Sidharth Anand	Drama	6.2
423	Garam Masala	2005	Akshay Kumar	Neetu Chandra	priyadarshan	Drama,Comedy	6.7
424	Waqt: the race against time	2005	Akshay Kumar	Priyanka Chopra	vipul shah	Drama	6.8
425	Paheli	2005	Shahrukh Khan	Juhi chawala	Amol Palekar	Thriller	6.5
426	Kalyug	2005	Kunal Khemu	Smilie Suri	Mohit Suri	Thriller	6.4
427	Mangal Pandey	2005	Aamir Khan	Rani Mukharjee	ketan Mehta	Drama,War	6.6
428	Dus	2005	Sanjay dutt	Shilpa Shetty	Anubhav sinha	thriller	5.5
429	Maine Pyaar Kyun Kiya	2005	Salman Khan	Sushmita Sen	David Dhavan	Comedy,Music	5.5
430	Bluffmaster!	2005	Abhishek bachhan 	Priyanka Chopra 	Rohan sippy	Drama	6.6
431	Kya Kool Hai Hum	2005	Tushar Kapoor 	Isha Koppikar	Sangeeth Sivan	Drama,Mystry	6.1
432	Socha Na tha	2005	Abhay Deol	Aisha takiya	Imtiaz Ali	Drama,Romance	7.5
433	Kaal	2005	Ajay Devgan	Esha Deol	Soham Shah	thriller	4.6
434	Lucky	2005	Salman Khan	Sneha ullal	john carrol Lynch	Drama,Comedy	7.3
435	Yahaan	2005	Jimmy Shergil	Minissha Lamba	Soojit sircar	Drama	7.4
436	Main, Meri Patni Aur Woh	2005	Rajpal Yadav	Rituparna Sengupta	Chandan Arora	Drama	7.3
437	Elaan	2005	John Abraham 	Ameesha Patel	Guddu Dhanoa	Drama	5.4
438	Deewane Huye Pagal	2005	Akshay Kumar 	Rimi Sen	Vikram bhatt	Drama	5.3
439	My Wife's Murder	2005	Anil Kapoor	Nandana Sen	jijy philip	thriller	6.2
440	Bewafaa	2005	Akshay Kumar	Kareena Kapoor	Dharmesh Darshan	Drama	5.3
441	Kyon Ki	2005	Salman khan	Rimi Sen	priyadarshan	Drama	5.5
442	Chocolate	2005	Emraan Hashmi	Tanushree Dutta	Vivek agnihotri	Crime,Thriller	4.8
443	Tango Charlie	2005	Ajay Devgan	Nandana Sen	Mani shankar	Drama	6
444	Dosti: Friends Forever	2005	Akshay Kumar	Kareena Kapoor	Suneel Darshan	Drama,Romance	5.5
445	Neal 'n' Nikki	2005	Uday Chopra	Tanishaa Mukharji	Arjun Sablok	Drama,Romance,Music	3.2
446	D	2005	Randeep Hooda 	Isha Koppikar	Vishrant Sawant	Thriller	6.8
447	Ek Ajnabee	2005	Amitabh Bachhan 	Perizaad zorabian	apoorva lakhia	Thriller	5.2
